Date,TFP_Index,Capital_Index,Land_Q,Labor_Q,Fertilizer_Q,Cropland_Q
1961-01-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-02-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-03-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-04-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-05-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-06-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-07-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-08-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-09-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-10-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-11-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1961-12-01,62.8029,31.9871,3230.9711,1576.3886,4370.816,3081.958
1962-01-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-02-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-03-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-04-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-05-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-06-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-07-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-08-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-09-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-10-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-11-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1962-12-01,60.4218,35.2505,3265.2431,1598.5298,5741.2547,3116.23
1963-01-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-02-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-03-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-04-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-05-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-06-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-07-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-08-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-09-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-10-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-11-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1963-12-01,60.0161,37.8902,3317.3091,1620.9821,6021.0909,3168.296
1964-01-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-02-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-03-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-04-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-05-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-06-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-07-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-08-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-09-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-10-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-11-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1964-12-01,63.8043,44.0893,3422.9561,1643.7497,6010.8452,3273.943
1965-01-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-02-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-03-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-04-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-05-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-06-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-07-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-08-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-09-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-10-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-11-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1965-12-01,57.4573,46.5689,3265.9241,1666.837,5525.3747,3116.911
1966-01-01,58.3533,47.5285,2998.1641,1690.2487,6070.1238,2849.151
1966-02-01,58.3533,47.5285,2998.1641,1690.2487,6070.1238,2849.151
1966-03-01,58.3533,47.5285,2998.1641,1690.2487,6070.1238,2849.151
1966-04-01,58.3533,47.5285,2998.1641,1690.2487,6070.1238,2849.151
1966-05-01,58.3533,47.5285,2998.1641,1690.2487,6070.1238,2849.151
