date,prep
1994-02-01,18.42
1994-03-01,68.89
1994-04-01,98.75
1994-05-01,156.24
1994-06-01,138.9
1994-07-01,111.6
1994-08-01,112.11
1994-09-01,202.6
1994-10-01,211.56
1994-11-01,34.39
1994-12-01,4.37
1995-01-01,0.8
1995-02-01,7.46
1995-03-01,76.82
1995-04-01,127.67
1995-05-01,153.52
1995-06-01,162.72
1995-07-01,148.14
1995-08-01,181.74
1995-09-01,156.21
1995-10-01,129.01
1995-11-01,35.62
1995-12-01,18.65
1996-01-01,5.87
1996-02-01,44.07
1996-03-01,58.41
1996-04-01,122.87
1996-05-01,170.24
1996-06-01,196.99
1996-07-01,139.95
1996-08-01,182.91
1996-09-01,133.1
1996-10-01,120.13
1996-11-01,21.53
1996-12-01,12.88
1997-01-01,11.56
1997-02-01,6.6
1997-03-01,73.58
1997-04-01,145.49
1997-05-01,151.91
1997-06-01,246.59
1997-07-01,104.72
1997-08-01,94.41
1997-09-01,156.67
1997-10-01,162.2
1997-11-01,54.34
1997-12-01,25.05
1998-01-01,13.75
1998-02-01,45.3
1998-03-01,31.82
1998-04-01,111.08
1998-05-01,150.59
1998-06-01,144.62
1998-07-01,102.61
1998-08-01,128.27
1998-09-01,138.03
1998-10-01,140.64
1998-11-01,35.72
1998-12-01,14.39
1999-01-01,18.97
1999-02-01,45.04
1999-03-01,62.59
1999-04-01,129.29
1999-05-01,120.19
1999-06-01,162.74
1999-07-01,186.82
1999-08-01,166.37
1999-09-01,189.77
1999-10-01,156.67
1999-11-01,61.3
1999-12-01,7.11
2000-01-01,18.81
2000-02-01,12
2000-03-01,73.45
2000-04-01,122.91
2000-05-01,144.6
2000-06-01,184.22
2000-07-01,130.38
2000-08-01,136.29
2000-09-01,164.96
2000-10-01,105.99
2000-11-01,30.37
2000-12-01,5.41
2001-01-01,6.01
2001-02-01,14.62
2001-03-01,50.82
2001-04-01,146.78
2001-05-01,150.85
2001-06-01,174.14
2001-07-01,111.43
2001-08-01,132.82
2001-09-01,185.89
2001-10-01,87.13
2001-11-01,36.73
2001-12-01,14.39
2002-01-01,6.29
2002-02-01,16.71
2002-03-01,69.44
2002-04-01,134.1
2002-05-01,139.91
2002-06-01,192.67
2002-07-01,182.4
2002-08-01,139.66
2002-09-01,122.36
2002-10-01,169.38
2002-11-01,34.39
2002-12-01,4.12
2003-01-01,14.92
2003-02-01,34.64
2003-03-01,64.11
2003-04-01,138.96
2003-05-01,144.96
2003-06-01,197.88
2003-07-01,115.22
2003-08-01,147.01
2003-09-01,180.97
2003-10-01,169.04
2003-11-01,67.12
2003-12-01,11.69
2004-01-01,24.72
2004-02-01,30.19
2004-03-01,56.45
2004-04-01,106.87
2004-05-01,132.96
2004-06-01,119.64
2004-07-01,158.44
2004-08-01,134.38
2004-09-01,204.32
2004-10-01,160.59
2004-11-01,47.14
2004-12-01,11.6
2005-01-01,5.13
2005-02-01,33.49
2005-03-01,94.37
2005-04-01,99.29
2005-05-01,162.39
2005-06-01,148.76
2005-07-01,138.26
2005-08-01,92.6
2005-09-01,162.93
2005-10-01,159.28
2005-11-01,42.63
2005-12-01,14.68
2006-01-01,5.63
2006-02-01,26.49
2006-03-01,66.24
2006-04-01,77.36
2006-05-01,185.15
2006-06-01,156.93
2006-07-01,120.41
2006-08-01,111.23
2006-09-01,207.7
2006-10-01,186.24
2006-11-01,29.87
2006-12-01,12.19
2007-01-01,0.83
2007-02-01,22.35
2007-03-01,57.42
2007-04-01,151.38
2007-05-01,136.91
2007-06-01,146.73
2007-07-01,173.95
2007-08-01,179.19
2007-09-01,216.79
2007-10-01,154.29
2007-11-01,56.12
2007-12-01,14.58
2008-01-01,6.54
2008-02-01,25.02
2008-03-01,84.48
2008-04-01,108.52
2008-05-01,159.79
2008-06-01,195.87
2008-07-01,189.25
2008-08-01,182.4
2008-09-01,175.4
2008-10-01,131.98
2008-11-01,51.29
2008-12-01,26.36
2009-01-01,4.52
2009-02-01,31.01
2009-03-01,78.22
2009-04-01,120.55
2009-05-01,139.99
2009-06-01,202.57
2009-07-01,196.85
2009-08-01,146.89
2009-09-01,149.53
2009-10-01,135.12
2009-11-01,33.83
2009-12-01,18.89
2010-01-01,10.41
2010-02-01,35.53
2010-03-01,50.8
2010-04-01,114.23
2010-05-01,125.29
2010-06-01,179.42
2010-07-01,128.33
2010-08-01,176.36
2010-09-01,253.26
2010-10-01,199.67
2010-11-01,62.08
2010-12-01,15.98
2011-01-01,7.78
2011-02-01,39.52
2011-03-01,61.92
2011-04-01,87.05
2011-05-01,120.79
2011-06-01,173.96
2011-07-01,177.2
2011-08-01,125.78
2011-09-01,182.33
2011-10-01,192.66
2011-11-01,21.86
2011-12-01,6.1
2012-01-01,13.24
2012-02-01,42.08
2012-03-01,31.25
2012-04-01,118.89
2012-05-01,156.6
2012-06-01,182.94
2012-07-01,145.58
2012-08-01,133.32
2012-09-01,190.79
2012-10-01,129.9
2012-11-01,56.68
2012-12-01,46.8
2013-01-01,9.42
2013-02-01,18.94
2013-03-01,101.47
2013-04-01,136.06
2013-05-01,138.5
2013-06-01,130.27
2013-07-01,121.19
2013-08-01,94.75
2013-09-01,159.03
2013-10-01,131.9
2013-11-01,59.06
2013-12-01,20.94
2014-01-01,22.58
2014-02-01,28.96
2014-03-01,82.25
2014-04-01,122.88
2014-05-01,130.52
2014-06-01,181.13
2014-07-01,136.65
2014-08-01,126.9
2014-09-01,209.6
2014-10-01,123.88
2014-11-01,69.78
2014-12-01,9.63
2015-01-01,4.2
2015-02-01,67.66
2015-03-01,84.87
2015-04-01,68.32
2015-05-01,115.54
2015-06-01,133.36
2015-07-01,115.05
2015-08-01,156.14
2015-09-01,134.87
2015-10-01,183.26
2015-11-01,45.29
2015-12-01,3.62
2016-01-01,4.18
2016-02-01,13.48
2016-03-01,91.85
2016-04-01,88.87
2016-05-01,172.39
2016-06-01,151.08
2016-07-01,138.72
2016-08-01,140.78
2016-09-01,207.49
2016-10-01,106.2
2016-11-01,43.6
2016-12-01,21.36
2017-01-01,16.71
2017-02-01,18.33
2017-03-01,43.64
2017-04-01,108.6
2017-05-01,148.44
2017-06-01,221.87
2017-07-01,129.15
2017-08-01,138.78
2017-09-01,135.28
2017-10-01,124.81
2017-11-01,57.13
2017-12-01,12.02
2018-01-01,4.48
2018-02-01,56.26
2018-03-01,85.52
2018-04-01,91.47
2018-05-01,140.72
2018-06-01,172.37
2018-07-01,154.66
2018-08-01,180.19
2018-09-01,215.08
2018-10-01,172.94
2018-11-01,32.06
2018-12-01,13.65
2019-01-01,10.33
2019-02-01,30.25
2019-03-01,90.66
2019-04-01,107.81
2019-05-01,150.96
2019-06-01,188.08
2019-07-01,197.23
2019-08-01,160
2019-09-01,201.94
2019-10-01,244.61
2019-11-01,61.32
2019-12-01,11.22
2020-01-01,10.33
2020-02-01,7.95
2020-03-01,76.3
2020-04-01,107.69
2020-05-01,141.17
2020-06-01,186.23
2020-07-01,150.4
2020-08-01,128.94
2020-09-01,224.58
2020-10-01,151.49
2020-11-01,26.83
2020-12-01,16.81
2021-01-01,6.75
2021-02-01,17.43
2021-03-01,79.32
2021-04-01,92.69
2021-05-01,124.66
2021-06-01,182.21
2021-07-01,164.81
2021-08-01,165.97
2021-09-01,199.89
2021-10-01,138.93
2021-11-01,79.04
2021-12-01,9.85
2022-01-01,4.61
2022-02-01,18.21
2022-03-01,56.97
2022-04-01,115.06
2022-05-01,146.17
2022-06-01,187.27
2022-07-01,136.74
2022-08-01,135.51
2022-09-01,219.85
2022-10-01,149.71
2022-11-01,46.51
2022-12-01,10.66
2023-01-01,11.67
2023-02-01,21.38
2023-03-01,77.14
2023-04-01,125.33
2023-05-01,142.74
2023-06-01,169.06
2023-07-01,149.84
2023-08-01,158.1
2023-09-01,217.96
2023-10-01,140.01
2023-11-01,79.73
2023-12-01,6.86
