STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-01,NA,80,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-02,NA,81,92,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-03,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-04,NA,81,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-05,0,79,89,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-06,NA,83,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-07,NA,82,NA,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-08,NA,82,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-09,NA,79,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-10,0,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-11,NA,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-12,NA,81,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-13,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-14,NA,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-15,NA,80,91,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-16,NA,81,NA,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-17,NA,82,88,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-18,NA,85,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-19,NA,83,NA,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-20,NA,84,90,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-21,NA,83,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-22,0.39,83,NA,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-24,NA,81,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-25,NA,78,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-26,NA,80,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-27,NA,82,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-28,NA,81,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-29,NA,81,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-30,NA,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-01-31,NA,81,92,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-01,NA,83,NA,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-02,NA,83,NA,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-02-03,NA,81,90,NA
