Date,Monthly_Fertilizer_Use
2015-01-01,2658.34
2015-02-01,2658.34
2015-03-01,6645.85
2015-04-01,6645.85
2015-05-01,13291.7
2015-06-01,19937.55
2015-07-01,19937.55
2015-08-01,19937.55
2015-09-01,15950.04
2015-10-01,10633.36
2015-11-01,7975.02
2015-12-01,6645.85
2016-01-01,2462.54
2016-02-01,2462.54
2016-03-01,6156.35
2016-04-01,6156.35
2016-05-01,12312.7
2016-06-01,18469.05
2016-07-01,18469.05
2016-08-01,18469.05
2016-09-01,14775.24
2016-10-01,9850.16
2016-11-01,7387.62
2016-12-01,6156.35
2017-01-01,3959.48
2017-02-01,3959.48
2017-03-01,9898.7
2017-04-01,9898.7
2017-05-01,19797.4
2017-06-01,29696.1
2017-07-01,29696.1
2017-08-01,29696.1
2017-09-01,23756.88
2017-10-01,15837.92
2017-11-01,11878.44
2017-12-01,9898.7
2018-01-01,3016
2018-02-01,3016
2018-03-01,7540
2018-04-01,7540
2018-05-01,15080
2018-06-01,22620
2018-07-01,22620
2018-08-01,22620
2018-09-01,18096
2018-10-01,12064
2018-11-01,9048
2018-12-01,7540
2019-01-01,4223.5
2019-02-01,4223.5
2019-03-01,10558.75
2019-04-01,10558.75
2019-05-01,21117.5
2019-06-01,31676.25
2019-07-01,31676.25
2019-08-01,31676.25
2019-09-01,25341
2019-10-01,16894
2019-11-01,12670.5
2019-12-01,10558.75
