Date,TFP_Index,Capital_Index,Land_Q,Labor_Q,Fertilizer_Q,Cropland_Q
2015-01-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-02-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-03-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-04-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-05-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-06-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-07-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-08-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-09-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-10-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-11-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2015-12-01,100,100,7836.9582,4007.302,132913.1234,7060.118
2016-01-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-02-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-03-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-04-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-05-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-06-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-07-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-08-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-09-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-10-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-11-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2016-12-01,97.4812,102.6672,7859.1965,4594.178,123120.2259,7084.676
2017-01-01,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858
2017-02-01,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858
2017-03-01,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858
2017-04-01,94.7799,107.1265,8286.8362,5224.406,197963.9969,7514.858
