Entity,Code,Date,Monthly_Production_tonnes
Ghana,GHA,2015-01-01,128808
Ghana,GHA,2015-02-01,128808
Ghana,GHA,2015-03-01,85872
Ghana,GHA,2015-04-01,0
Ghana,GHA,2015-05-01,42936
Ghana,GHA,2015-06-01,85872
Ghana,GHA,2015-07-01,85872
Ghana,GHA,2015-08-01,42936
Ghana,GHA,2015-09-01,0
Ghana,GHA,2015-10-01,85872
Ghana,GHA,2015-11-01,85872
Ghana,GHA,2015-12-01,85872
Ghana,GHA,2016-01-01,128808
Ghana,GHA,2016-02-01,128808
Ghana,GHA,2016-03-01,85872
Ghana,GHA,2016-04-01,0
Ghana,GHA,2016-05-01,42936
Ghana,GHA,2016-06-01,85872
Ghana,GHA,2016-07-01,85872
Ghana,GHA,2016-08-01,42936
Ghana,GHA,2016-09-01,0
Ghana,GHA,2016-10-01,85872
Ghana,GHA,2016-11-01,85872
Ghana,GHA,2016-12-01,85872
Ghana,GHA,2017-01-01,145395
Ghana,GHA,2017-02-01,145395
Ghana,GHA,2017-03-01,96930
Ghana,GHA,2017-04-01,0
Ghana,GHA,2017-05-01,48465
Ghana,GHA,2017-06-01,96930
Ghana,GHA,2017-07-01,96930
Ghana,GHA,2017-08-01,48465
Ghana,GHA,2017-09-01,0
Ghana,GHA,2017-10-01,96930
Ghana,GHA,2017-11-01,96930
Ghana,GHA,2017-12-01,96930
Ghana,GHA,2018-01-01,135705
Ghana,GHA,2018-02-01,135705
Ghana,GHA,2018-03-01,90470
Ghana,GHA,2018-04-01,0
Ghana,GHA,2018-05-01,45235
Ghana,GHA,2018-06-01,90470
Ghana,GHA,2018-07-01,90470
Ghana,GHA,2018-08-01,45235
Ghana,GHA,2018-09-01,0
Ghana,GHA,2018-10-01,90470
Ghana,GHA,2018-11-01,90470
Ghana,GHA,2018-12-01,90470
Ghana,GHA,2019-01-01,121755
Ghana,GHA,2019-02-01,121755
Ghana,GHA,2019-03-01,81170
Ghana,GHA,2019-04-01,0
Ghana,GHA,2019-05-01,40585
Ghana,GHA,2019-06-01,81170
Ghana,GHA,2019-07-01,81170
Ghana,GHA,2019-08-01,40585
Ghana,GHA,2019-09-01,0
Ghana,GHA,2019-10-01,81170
Ghana,GHA,2019-11-01,81170
Ghana,GHA,2019-12-01,81170
Ghana,GHA,2020-01-01,120000
Ghana,GHA,2020-02-01,120000
Ghana,GHA,2020-03-01,80000
Ghana,GHA,2020-04-01,0
Ghana,GHA,2020-05-01,40000
Ghana,GHA,2020-06-01,80000
Ghana,GHA,2020-07-01,80000
Ghana,GHA,2020-08-01,40000
Ghana,GHA,2020-09-01,0
Ghana,GHA,2020-10-01,80000
Ghana,GHA,2020-11-01,80000
Ghana,GHA,2020-12-01,80000
Ghana,GHA,2021-01-01,157107.75
Ghana,GHA,2021-02-01,157107.75
Ghana,GHA,2021-03-01,104738.5
Ghana,GHA,2021-04-01,0
Ghana,GHA,2021-05-01,52369.25
Ghana,GHA,2021-06-01,104738.5
Ghana,GHA,2021-07-01,104738.5
Ghana,GHA,2021-08-01,52369.25
Ghana,GHA,2021-09-01,0
Ghana,GHA,2021-10-01,104738.5
Ghana,GHA,2021-11-01,104738.5
Ghana,GHA,2021-12-01,104738.5
Ghana,GHA,2022-01-01,102495
Ghana,GHA,2022-02-01,102495
Ghana,GHA,2022-03-01,68330
Ghana,GHA,2022-04-01,0
Ghana,GHA,2022-05-01,34165
Ghana,GHA,2022-06-01,68330
Ghana,GHA,2022-07-01,68330
Ghana,GHA,2022-08-01,34165
Ghana,GHA,2022-09-01,0
Ghana,GHA,2022-10-01,68330
Ghana,GHA,2022-11-01,68330
Ghana,GHA,2022-12-01,68330
Ghana,GHA,2023-01-01,98055
Ghana,GHA,2023-02-01,98055
Ghana,GHA,2023-03-01,65370
Ghana,GHA,2023-04-01,0
Ghana,GHA,2023-05-01,32685
Ghana,GHA,2023-06-01,65370
Ghana,GHA,2023-07-01,65370
Ghana,GHA,2023-08-01,32685
Ghana,GHA,2023-09-01,0
Ghana,GHA,2023-10-01,65370
Ghana,GHA,2023-11-01,65370
Ghana,GHA,2023-12-01,65370
