Date,Price,Temp,Fert,TFP_Index,Capital_Index,Land_Q,Labor_Q,Cropland_Q,prep,Production_tonnes,Yield_tonnes_per_hectare
2015-01-01,2921.0533333333300,81.21036706349210,2658.34,100,100,7836.9582,4007.302,7060.118,4.2,128808,0.51000005
2015-02-01,2946.8250000000000,82.94016439909300,2658.34,100,100,7836.9582,4007.302,7060.118,67.66,128808,0.51000005
2015-03-01,2882.2322727272700,83.28210317460320,6645.85,100,100,7836.9582,4007.302,7060.118,84.87,85872,0.51000005
2015-04-01,2868.274761904760,83.322208994709,6645.85,100,100,7836.9582,4007.302,7060.118,68.32,0,0.51000005
2015-05-01,3095.998,82.32676651305680,13291.7,100,100,7836.9582,4007.302,7060.118,115.54,42936,0.51000005
2015-06-01,3239.0213636363600,79.14062169312170,19937.55,100,100,7836.9582,4007.302,7060.118,133.36,85872,0.51000005
2015-07-01,3325.960434782610,78.29150025601640,19937.55,100,100,7836.9582,4007.302,7060.118,115.05,85872,0.51000005
2015-08-01,3153.049523809520,77.72083973374300,19937.55,100,100,7836.9582,4007.302,7060.118,156.14,42936,0.51000005
2015-09-01,3278.455,78.87982804232800,15950.04,100,100,7836.9582,4007.302,7060.118,134.87,0,0.51000005
2015-10-01,3198.3018181818200,80.45161290322580,10633.36,100,100,7836.9582,4007.302,7060.118,183.26,85872,0.51000005
2015-11-01,3360.8404761904800,81.93121693121690,7975.02,100,100,7836.9582,4007.302,7060.118,45.29,85872,0.51000005
2015-12-01,3345.650909090910,81.45300819252430,6645.85,100,100,7836.9582,4007.302,7060.118,3.62,85872,0.51000005
2016-01-01,2952.42,83.29413265306120,2462.54,97.4812,102.6672,7859.1965,4594.178,7084.676,4.18,128808,0.51000005
2016-02-01,2916.365714285710,85.83483436853000,2462.54,97.4812,102.6672,7859.1965,4594.178,7084.676,13.48,128808,0.51000005
2016-03-01,3073.518181818180,84.47872503840250,6156.35,97.4812,102.6672,7859.1965,4594.178,7084.676,91.85,85872,0.51000005
2016-04-01,3078.495238095240,84.47181216931220,6156.35,97.4812,102.6672,7859.1965,4594.178,7084.676,88.87,0,0.51000005
2016-05-01,3098.6585714285700,82.16236559139780,12312.7,97.4812,102.6672,7859.1965,4594.178,7084.676,172.39,42936,0.51000005
2016-06-01,3122.516818181820,79.62862433862430,18469.05,97.4812,102.6672,7859.1965,4594.178,7084.676,151.08,85872,0.51000005
2016-07-01,3049.975238095240,78.43205325140810,18469.05,97.4812,102.6672,7859.1965,4594.178,7084.676,138.72,85872,0.51000005
2016-08-01,3033.183043478260,77.4831541218638,18469.05,97.4812,102.6672,7859.1965,4594.178,7084.676,140.78,42936,0.51000005
2016-09-01,2881.1872727272700,78.78265873015870,14775.24,97.4812,102.6672,7859.1965,4594.178,7084.676,207.49,0,0.51000005
2016-10-01,2711.349523809520,80.58891534391540,9850.16,97.4812,102.6672,7859.1965,4594.178,7084.676,106.2,85872,0.51000005
2016-11-01,2500.4790909090900,82.64105725623580,7387.62,97.4812,102.6672,7859.1965,4594.178,7084.676,43.6,85872,0.51000005
2016-12-01,2287.801904761910,81.8177059712774,6156.35,97.4812,102.6672,7859.1965,4594.178,7084.676,21.36,85872,0.51000005
2017-01-01,2195.8542857142900,82.64715821812600,3959.48,94.7799,107.1265,8286.8362,5224.406,7514.858,16.71,145395,0.5201
2017-02-01,2034.0815,84.2031179138322,3959.48,94.7799,107.1265,8286.8362,5224.406,7514.858,18.33,145395,0.5201
2017-03-01,2057.8004347826100,83.65079365079360,9898.7,94.7799,107.1265,8286.8362,5224.406,7514.858,43.64,96930,0.5201
2017-04-01,1961.1573684210500,83.26592592592590,9898.7,94.7799,107.1265,8286.8362,5224.406,7514.858,108.6,0,0.5201
