Date,Price,Temp,Fert,TFP_Index,Capital_Index,Land_Q,Labor_Q,Cropland_Q,prep,Production_tonnes,Yield_tonnes_per_hectare
2022-02-01,2550.945,84.6141534391534,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,18.21,102495,0.56040007
2016-06-01,3122.51681818182,79.6286243386243,18469.05,97.4812,102.6672,7859.1965,4594.178,7084.676,151.08,85872,0.51000005
2020-06-01,2228.35681818182,80.3377116402116,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,186.23,80000,0.54170007
2015-12-01,3345.65090909091,81.4530081925243,6645.85,100,100,7836.9582,4007.302,7060.118,3.62,85872,0.51000005
2019-11-01,2519.66333333333,82.2586111111111,12670.5,100.9486,114.8214,8440.5211,5256.744,7662.126,61.32,81170,0.52820003
2023-12-01,4253.87555555556,82.8108422939068,13599.88,105.26,137.21,9624.46,5816.65,8847.45,6.86,65370,0.56820005
2017-09-01,1998.29761904762,78.5757142857143,23756.88,94.7799,107.1265,8286.8362,5224.406,7514.858,135.28,0,0.5201
2022-04-01,2455.349,82.8539417989418,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,115.06,0,0.56040007
2023-07-01,3348.39333333333,79.1881720430108,13599.88,105.01,135.19,9531.99,5715.69,8754.13,149.84,65370,0.56820005
2016-04-01,3078.49523809524,84.4718121693122,6156.35,97.4812,102.6672,7859.1965,4594.178,7084.676,88.87,0,0.51000005
2020-03-01,2338.47181818182,84.5349078341014,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,76.3,80000,0.54170007
2023-05-01,2904.31863636364,82.5637864823349,13599.88,104.91,134.39,9495.37,5675.93,8717.19,142.74,32685,0.56820005
2019-04-01,2331.13142857143,83.8309259259259,10558.75,100.9486,114.8214,8440.5211,5256.744,7662.126,107.81,0,0.52820003
2020-02-01,2716.2105,85.891156462585,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,7.95,120000,0.54170007
2020-10-01,2292.05590909091,80.2539426523298,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,151.49,80000,0.54170007
2016-01-01,2952.42,83.2941326530612,2462.54,97.4812,102.6672,7859.1965,4594.178,7084.676,4.18,128808,0.51000005
2018-03-01,2503.95095238095,83.1331541218638,7540,98.7739,111.099,8300.4841,5249.199,7524.799,85.52,90470,0.52400005
2016-02-01,2916.36571428571,85.83483436853,2462.54,97.4812,102.6672,7859.1965,4594.178,7084.676,13.48,128808,0.51000005
2017-06-01,1998.24772727273,79.9818386243386,29696.1,94.7799,107.1265,8286.8362,5224.406,7514.858,221.87,96930,0.5201
2019-06-01,2407.73,79.865582010582,31676.25,100.9486,114.8214,8440.5211,5256.744,7662.126,188.08,81170,0.52820003
2016-11-01,2500.47909090909,82.6410572562358,7387.62,97.4812,102.6672,7859.1965,4594.178,7084.676,43.6,85872,0.51000005
2022-09-01,2226.05454545455,77.7025998905309,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,219.85,0,0.56040007
2015-10-01,3198.30181818182,80.4516129032258,10633.36,100,100,7836.9582,4007.302,7060.118,183.26,85872,0.51000005
2017-05-01,1983.485,82.2271249359959,19797.4,94.7799,107.1265,8286.8362,5224.406,7514.858,148.44,48465,0.5201
2018-06-01,2410.75952380952,79.3327116402116,22620,98.7739,111.099,8300.4841,5249.199,7524.799,172.37,90470,0.52400005
2023-10-01,3691.6122727272705,80.7786098310292,13599.88,105.16,136.4,9587.49,5776.19,8810.12,140.01,65370,0.56820005
2017-11-01,2127.90090909091,81.4347826086957,11878.44,94.7799,107.1265,8286.8362,5224.406,7514.858,57.13,96930,0.5201
2021-03-01,2462.46652173913,82.8757040450589,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,79.32,104738.5,0.5526
2016-03-01,3073.51818181818,84.4787250384025,6156.35,97.4812,102.6672,7859.1965,4594.178,7084.676,91.85,85872,0.51000005
2016-09-01,2881.18727272727,78.7826587301587,14775.24,97.4812,102.6672,7859.1965,4594.178,7084.676,207.49,0,0.51000005
2022-12-01,2455.79761904762,82.0306323604711,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,10.66,68330,0.56040007
2018-07-01,2357.04727272727,78.2074116743472,22620,98.7739,111.099,8300.4841,5249.199,7524.799,154.66,90470,0.52400005
2016-05-01,3098.65857142857,82.1623655913978,12312.7,97.4812,102.6672,7859.1965,4594.178,7084.676,172.39,42936,0.51000005
2017-01-01,2195.85428571429,82.647158218126,3959.48,94.7799,107.1265,8286.8362,5224.406,7514.858,16.71,145395,0.5201
2021-12-01,2384.97409090909,83.459246031746,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,9.85,104738.5,0.5526
2023-02-01,2587.361,83.9802154195011,13599.88,104.76,133.23,9442.19,5618.42,8663.59,21.38,98055,0.56820005
2023-06-01,3124.21863636364,79.5559126984127,13599.88,104.96,134.79,9513.96,5696.1,8735.94,169.06,65370,0.56820005
2019-02-01,2255.803,84.4903486394558,4223.5,100.9486,114.8214,8440.5211,5256.744,7662.126,30.25,121755,0.52820003
2019-12-01,2444.70619047619,82.7949507389163,10558.75,100.9486,114.8214,8440.5211,5256.744,7662.126,11.22,81170,0.52820003
2018-05-01,2659.93681818182,81.0656041986687,15080,98.7739,111.099,8300.4841,5249.199,7524.799,140.72,45235,0.52400005
2017-03-01,2057.80043478261,83.6507936507936,9898.7,94.7799,107.1265,8286.8362,5224.406,7514.858,43.64,96930,0.5201
2023-08-01,3444.08,78.196146953405,13599.88,105.06,135.59,9550.65,5736,8772.95,158.1,32685,0.56820005
2021-09-01,2558.09318181818,78.867328042328,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,199.89,0,0.5526
2022-07-01,2239.58285714286,78.4740143369176,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,136.74,68330,0.56040007
2023-09-01,3625.3357142857103,79.1885714285714,13599.88,105.11,136,9569.35,5756.39,8791.82,217.96,0,0.56820005
2020-12-01,2407.20136363636,82.4879672299027,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,16.81,80000,0.54170007
2018-04-01,2624.73571428571,83.3537962962963,7540,98.7739,111.099,8300.4841,5249.199,7524.799,91.47,0,0.52400005
2019-03-01,2200.48571428571,84.1839153439153,10558.75,100.9486,114.8214,8440.5211,5256.744,7662.126,90.66,81170,0.52820003
2016-12-01,2287.80190476191,81.8177059712774,6156.35,97.4812,102.6672,7859.1965,4594.178,7084.676,21.36,85872,0.51000005
2016-08-01,3033.18304347826,77.4831541218638,18469.05,97.4812,102.6672,7859.1965,4594.178,7084.676,140.78,42936,0.51000005
2023-03-01,2669.12695652174,83.0906426011265,13599.88,104.8,133.59,9458.89,5636.45,8680.42,77.14,65370,0.56820005
2017-07-01,1988.57952380952,78.3811375661376,29696.1,94.7799,107.1265,8286.8362,5224.406,7514.858,129.15,96930,0.5201
2021-06-01,2366.23363636364,80.9793650793651,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,182.21,104738.5,0.5526
2021-04-01,2368.33285714286,83.8812830687831,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,92.69,0,0.5526
2017-02-01,2034.0815,84.2031179138322,3959.48,94.7799,107.1265,8286.8362,5224.406,7514.858,18.33,145395,0.5201
2021-11-01,2393.32590909091,81.9995758073344,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,79.04,104738.5,0.5526
2015-02-01,2946.825,82.940164399093,2658.34,100,100,7836.9582,4007.302,7060.118,67.66,128808,0.51000005
2018-02-01,2122.799,84.6498866213152,3016,98.7739,111.099,8300.4841,5249.199,7524.799,56.26,135705,0.52400005
2017-12-01,1917.6835,81.5189708141321,9898.7,94.7799,107.1265,8286.8362,5224.406,7514.858,12.02,96930,0.5201
2019-10-01,2435.27173913044,79.3670250896057,16894,100.9486,114.8214,8440.5211,5256.744,7662.126,244.61,81170,0.52820003
2022-11-01,2382.31954545455,81.7589814814815,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,46.51,68330,0.56040007
2018-01-01,1951.96818181818,82.1056067588326,3016,98.7739,111.099,8300.4841,5249.199,7524.799,4.48,135705,0.52400005
2022-10-01,2245.00523809524,79.9530849974398,13599.88,104.6562,132.4306,9405.3255,5578.694,8626.439,149.71,68330,0.56040007
2015-04-01,2868.27476190476,83.322208994709,6645.85,100,100,7836.9582,4007.302,7060.118,68.32,0,0.51000005
2019-05-01,2315.07636363636,81.8953917050691,21117.5,100.9486,114.8214,8440.5211,5256.744,7662.126,150.96,40585,0.52820003
2021-02-01,2405.4415,84.2075873015873,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,17.43,157107.75,0.5526
2020-09-01,2457.89590909091,78.9334788359788,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,224.58,0,0.54170007
2015-06-01,3239.02136363636,79.1406216931217,19937.55,100,100,7836.9582,4007.302,7060.118,133.36,85872,0.51000005
2015-01-01,2921.05333333333,81.2103670634921,2658.34,100,100,7836.9582,4007.302,7060.118,4.2,128808,0.51000005
2015-09-01,3278.455,78.879828042328,15950.04,100,100,7836.9582,4007.302,7060.118,134.87,0,0.51000005
2020-11-01,2358.18523809524,82.0117592592593,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,26.83,80000,0.54170007
2021-08-01,2484.31181818182,78.8761776753712,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,165.97,52369.25,0.5526
2020-05-01,2315.988,83.2552099334357,13599.88,100.1559,119.5205,8505.1825,5368.13,7726.296,141.17,40000,0.54170007
2021-07-01,2327.1,79.0339477726575,13599.88,103.4212,125.8508,9110.7965,5472.259,8331.91,164.81,104738.5,0.5526
2015-07-01,3325.96043478261,78.2915002560164,19937.55,100,100,7836.9582,4007.302,7060.118,115.05,85872,0.51000005
