ghana_index,FAO,ISO3,Country/territory,Region,Sub-Region,Inc I,Year,Variable,Value
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1961,TFP_Index,62.8029
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1961,Capital_Index,31.9871
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1961,Land_Q,3230.9711
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1961,Labor_Q,1576.3886
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1961,Fertilizer_Q,4370.816
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1961,Cropland_Q,3081.958
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1962,TFP_Index,60.4218
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1962,Capital_Index,35.2505
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1962,Land_Q,3265.2431
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1962,Labor_Q,1598.5298
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1962,Fertilizer_Q,5741.2547
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1962,Cropland_Q,3116.23
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1963,TFP_Index,60.0161
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1963,Capital_Index,37.8902
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1963,Land_Q,3317.3091
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1963,Labor_Q,1620.9821
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1963,Fertilizer_Q,6021.0909
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1963,Cropland_Q,3168.296
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1964,TFP_Index,63.8043
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1964,Capital_Index,44.0893
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1964,Land_Q,3422.9561
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1964,Labor_Q,1643.7497
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1964,Fertilizer_Q,6010.8452
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1964,Cropland_Q,3273.943
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1965,TFP_Index,57.4573
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1965,Capital_Index,46.5689
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1965,Land_Q,3265.9241
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1965,Labor_Q,1666.837
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1965,Fertilizer_Q,5525.3747
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1965,Cropland_Q,3116.911
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1966,TFP_Index,58.3533
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1966,Capital_Index,47.5285
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1966,Land_Q,2998.1641
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1966,Labor_Q,1690.2487
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1966,Fertilizer_Q,6070.1238
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1966,Cropland_Q,2849.151
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1967,TFP_Index,59.7729
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1967,Capital_Index,50.4613
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1967,Land_Q,3194.4291
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1967,Labor_Q,1713.9891
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1967,Fertilizer_Q,6389.194
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1967,Cropland_Q,3045.416
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1968,TFP_Index,57.8683
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1968,Capital_Index,53.1704
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1968,Land_Q,3072.2201
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1968,Labor_Q,1738.0631
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1968,Fertilizer_Q,6902.3553
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1968,Cropland_Q,2923.207
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1969,TFP_Index,59.2085
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1969,Capital_Index,56.1589
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1969,Land_Q,3340.8551
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1969,Labor_Q,1762.4751
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1969,Fertilizer_Q,7468.6234
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1969,Cropland_Q,3191.842
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1970,TFP_Index,56.834
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1970,Capital_Index,57.0065
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1970,Land_Q,3987.3501
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1970,Labor_Q,1787.23
4,81,GHA,Ghana,SSA,"SSA, Western",MI-L,1970,Fertilizer_Q,9961.1946
