Entity,Code,Year,Cocoa beans | 00000661 || Yield | 005412 || tonnes per hectare
Ghana,GHA,1961,0.23640001
Ghana,GHA,1962,0.23780002
Ghana,GHA,1963,0.23510002
Ghana,GHA,1964,0.31410003
Ghana,GHA,1965,0.2272
Ghana,GHA,1966,0.2823
Ghana,GHA,1967,0.2921
Ghana,GHA,1968,0.2515
Ghana,GHA,1969,0.28570002
Ghana,GHA,1970,0.2798
Ghana,GHA,1971,0.3133
Ghana,GHA,1972,0.28670004
Ghana,GHA,1973,0.245
Ghana,GHA,1974,0.27510002
Ghana,GHA,1975,0.2838
Ghana,GHA,1976,0.2513
Ghana,GHA,1977,0.23120001
Ghana,GHA,1978,0.22350001
Ghana,GHA,1979,0.23400001
Ghana,GHA,1980,0.231
Ghana,GHA,1981,0.2054
Ghana,GHA,1982,0.22500001
Ghana,GHA,1983,0.21010001
Ghana,GHA,1984,0.20840001
Ghana,GHA,1985,0.216
Ghana,GHA,1986,0.24820001
Ghana,GHA,1987,0.2545
Ghana,GHA,1988,0.34260002
Ghana,GHA,1989,0.4213
Ghana,GHA,1990,0.42320004
Ghana,GHA,1991,0.33540002
Ghana,GHA,1992,0.43300003
Ghana,GHA,1993,0.36270002
Ghana,GHA,1994,0.41960004
Ghana,GHA,1995,0.40390003
Ghana,GHA,1996,0.3838
Ghana,GHA,1997,0.3
Ghana,GHA,1998,0.3
Ghana,GHA,1999,0.33400002
Ghana,GHA,2000,0.29110003
Ghana,GHA,2001,0.28860003
Ghana,GHA,2002,0.28500003
Ghana,GHA,2003,0.3313
Ghana,GHA,2004,0.36850002
Ghana,GHA,2005,0.4
Ghana,GHA,2006,0.4
Ghana,GHA,2007,0.42000002
Ghana,GHA,2008,0.37350002
Ghana,GHA,2009,0.44410002
Ghana,GHA,2010,0.395
Ghana,GHA,2011,0.4374
Ghana,GHA,2012,0.54950005
Ghana,GHA,2013,0.5221
Ghana,GHA,2014,0.51000005
Ghana,GHA,2015,0.51000005
Ghana,GHA,2016,0.51000005
Ghana,GHA,2017,0.5201
Ghana,GHA,2018,0.52400005
Ghana,GHA,2019,0.52820003
Ghana,GHA,2020,0.54170007
Ghana,GHA,2021,0.5526
Ghana,GHA,2022,0.56040007
Ghana,GHA,2023,0.56820005
